symbol,strategy,side,entry_time,entry_price,stop_loss,profit_target,position_size,confidence,spread_pct,volume,volume_ratio,exit_time,exit_price,realized_pnl,realized_pct,r_multiple,hold_time_s,mae_pct,mfe_pct,mae_r,mfe_r,exit_reason,adaptive_stop_pct,atr_pct_entry,r_multiple_peak
IONQ,mean_reversion,SELL,2025-08-11T15:09:49.468845,44.2467,44.4800,43.9000,9,0.7000,0.0678,1000000,,2025-08-11T15:10:05.703988,44.4050,-1.4250,-0.3578,-0.6786,16.24,-0.3917,0.0000,-0.7429,0.0000,close,0.5127853512946726,0.3945,0.0
QBTS,momentum_scalp,SELL,2025-08-11T15:10:02.194952,17.4100,17.4900,17.2900,10,0.6667,0.1149,1000000,,2025-08-11T15:10:06.087061,17.4350,-0.2500,-0.1436,-0.3125,3.89,-0.1436,0.0000,-0.3125,0.0000,Profit target hit: $17.44 <= $17.44,0.562770562770564,0.4329,0.0
IONQ,vwap_bounce,SELL,2025-08-11T15:10:19.809670,44.4800,44.7100,44.1300,10,0.6667,0.1500,1000000,,2025-08-11T15:10:35.301120,43.6200,8.6000,1.9335,3.7391,15.49,-0.1012,1.9335,-0.1957,3.7391,Profit target hit: $43.62 <= $44.09,0.48192479162628904,0.3707,0.0
QBTS,momentum_scalp,SELL,2025-08-11T15:10:24.572535,17.4500,17.5300,17.3300,10,0.6667,0.0573,1000000,,2025-08-11T15:10:41.237501,17.4350,0.1500,0.0860,0.1875,16.66,-0.1433,0.0860,-0.3125,0.1875,Profit target hit: $17.44 <= $17.44,0.562770562770564,0.4329,0.0
QBTS,momentum_scalp,SELL,2025-08-11T15:10:48.133330,17.4400,17.5200,17.3200,10,0.6667,0.0573,1000000,,2025-08-11T15:10:58.775283,17.4350,0.0500,0.0287,0.0625,10.64,-0.0287,0.0287,-0.0625,0.0625,Profit target hit: $17.44 <= $17.44,0.562770562770564,0.4329,0.0
RGTI,momentum_scalp,SELL,2025-08-11T15:08:53.043826,15.6300,15.6800,15.5500,10,0.6667,0.0640,1000000,,2025-08-11T15:12:58.697577,15.6350,-0.0500,-0.0320,-0.1000,245.65,-0.0960,0.2239,-0.3000,0.7000,close,0.32492547580829867,0.2499,0.6891683158214071
QBTS,momentum_scalp,SELL,2025-08-11T15:11:06.736803,17.4300,17.5100,17.3100,10,0.6667,0.0574,1000000,,2025-08-11T15:12:58.818066,17.4750,-0.4500,-0.2582,-0.5625,112.08,-0.1147,0.0861,-0.2500,0.1875,close,0.5771985104554574,0.4440,0.14909691940395953
QBTS,momentum_scalp,SELL,2025-08-11T15:13:17.403559,17.4600,17.5400,17.3400,10,0.6667,0.0573,1000000,,2025-08-11T15:14:23.041502,17.4100,0.5000,0.2864,0.6250,65.64,-0.0573,0.4009,-0.1250,0.8750,close,0.5916844349680167,0.4551,0.6775848012961446
RGTI,momentum_scalp,SELL,2025-08-11T15:13:06.018065,15.6200,15.6700,15.5400,10,0.6667,0.0640,1000000,,2025-08-11T15:15:14.920443,15.6600,-0.4000,-0.2561,-0.8000,128.90,-0.2241,0.0000,-0.7000,0.0000,close,0.3064493980866909,0.2357,0.0
JNJ,momentum_scalp,BUY,2025-08-11T15:33:39.020797,173.4725,173.3200,173.7100,4,0.6667,0.0231,1000000,,2025-08-11T15:33:59.094143,180.9650,29.9700,4.3191,49.1311,20.07,-0.0216,4.3191,-0.2459,49.1311,Profit target hit: $180.97 >= $173.98,0.2,0.0313,0.0
PG,vwap_bounce,BUY,2025-08-11T15:34:15.135035,154.1800,154.0800,154.3200,5,0.8333,0.0195,1000000,,2025-08-11T15:34:19.252748,157.0700,14.4500,1.8744,28.9000,4.12,-0.0097,1.8744,-0.1500,28.9000,Profit target hit: $157.07 >= $154.53,0.2,0.0396,0.0
IONQ,momentum_scalp,BUY,2025-08-11T15:35:08.615726,44.5430,44.3100,44.8900,10,0.6667,0.1500,1000000,,2025-08-11T15:35:11.703215,45.7300,11.8700,2.6648,5.0944,3.09,0.0000,2.7322,0.0000,5.2232,Profit target hit: $45.73 >= $44.78,0.550071988481848,0.4231,0.0
QBTS,momentum_scalp,SELL,2025-08-11T15:33:34.277631,17.4400,17.5100,17.3300,10,0.6667,0.1147,1000000,,2025-08-11T15:35:45.779394,17.3850,0.5500,0.3154,0.7857,131.50,-0.0860,0.3154,-0.2143,0.7857,Profit target hit: $17.38 <= $17.39,0.5803571428571428,0.4464,0.29640084685957374
PG,vwap_bounce,BUY,2025-08-11T15:36:22.485538,154.2200,154.1200,154.3600,5,0.8333,0.0130,1000000,,2025-08-11T15:36:27.789307,157.1050,14.4250,1.8707,28.8500,5.30,0.0000,1.8707,0.0000,28.8500,Profit target hit: $157.11 >= $154.61,0.2,0.0354,0.0
JNJ,vwap_bounce,SELL,2025-08-11T15:36:27.576882,173.5100,173.6700,173.2800,4,0.6667,0.0231,1000000,,2025-08-11T15:36:30.190767,180.9950,-29.9400,-4.3139,-46.7812,2.61,-0.0058,0.0000,-0.0625,0.0000,close,0.2,0.0309,0.0
JNJ,vwap_bounce,SELL,2025-08-11T15:36:49.963865,173.4800,173.6400,173.2500,4,0.6667,0.0231,1000000,,2025-08-11T15:36:52.439812,180.9850,-30.0200,-4.3261,-46.9062,2.48,-0.0115,0.0000,-0.1250,0.0000,close,0.2,0.0309,0.0
RGTI,momentum_scalp,SELL,2025-08-11T15:35:41.827445,15.5700,15.6200,15.4900,10,0.6667,0.0642,1000000,,2025-08-11T15:37:17.171767,15.5450,0.2500,0.1606,0.5000,95.34,-0.0321,0.1606,-0.1000,0.5000,Profit target hit: $15.54 <= $15.55,0.3095238095238072,0.2381,0.3112494441974352
JNJ,momentum_scalp,BUY,2025-08-11T15:37:17.056980,173.5700,173.4100,173.8000,4,0.6667,0.0288,1000000,,2025-08-11T15:37:39.643181,181.0100,29.7600,4.2865,46.5000,22.59,-0.0202,4.2865,-0.2187,46.5000,Profit target hit: $181.01 >= $174.01,0.2,0.0329,0.0
RGTI,momentum_scalp,SELL,2025-08-11T15:37:24.220565,15.5400,15.5900,15.4600,10,0.8333,0.0643,1000000,,2025-08-11T15:37:57.708324,15.5850,-0.4500,-0.2896,-0.9000,33.49,-0.2252,0.0000,-0.7000,0.0000,close,0.33419023136246495,0.2571,0.0
PG,vwap_bounce,BUY,2025-08-11T15:39:12.674641,154.3600,154.2600,154.5000,5,0.6667,0.0194,1000000,,2025-08-11T15:39:22.855611,157.1700,14.0500,1.8204,28.1000,10.18,-0.0097,1.8204,-0.1500,28.1000,Profit target hit: $157.17 >= $154.78,0.2,0.0377,0.0
QBTS,vwap_bounce,SELL,2025-08-11T15:37:53.802722,17.3600,17.4300,17.2500,10,0.8333,0.0576,1000000,,2025-08-11T15:39:27.402548,17.3150,0.4500,0.2592,0.6429,93.60,-0.1440,0.4032,-0.3571,1.0000,close,0.6483389662847256,0.4987,0.6219367143120829
JNJ,momentum_scalp,BUY,2025-08-11T15:40:09.799963,173.5500,173.3900,173.7800,4,0.6667,0.0173,1000000,,2025-08-11T15:40:19.159045,181.0000,29.8000,4.2927,46.5625,9.36,-0.0230,4.2927,-0.2500,46.5625,Profit target hit: $181.00 >= $173.99,0.2,0.0319,0.0
RGTI,momentum_scalp,SELL,2025-08-11T15:38:03.824265,15.5600,15.6100,15.4800,10,0.6667,0.0642,1000000,,2025-08-11T15:41:32.542534,15.5350,0.2500,0.1607,0.5000,208.72,-0.2249,0.1607,-0.7000,0.5000,Profit target hit: $15.54 <= $15.54,0.33950334463483617,0.2612,0.28394721230604036
PG,vwap_bounce,BUY,2025-08-11T15:41:30.916833,154.4500,154.3500,154.5900,5,0.8333,0.0259,1000000,,2025-08-11T15:41:41.394449,157.2100,13.8000,1.7870,27.6000,10.48,-0.0097,1.7870,-0.1500,27.6000,Profit target hit: $157.21 >= $154.82,0.2,0.0400,0.0
RGTI,momentum_scalp,SELL,2025-08-11T15:41:54.456608,15.5200,15.5700,15.4400,10,0.6667,0.0644,1000000,,2025-08-11T15:42:10.755801,15.5200,-0.0000,-0.0000,-0.0000,16.30,-0.0322,0.0000,-0.1000,0.0000,Profit target hit: $15.52 <= $15.52,0.3280117441967126,0.2523,0.0
QBTS,momentum_scalp,SELL,2025-08-11T15:41:32.257679,17.3000,17.3700,17.1900,10,0.6667,0.0578,1000000,,2025-08-11T15:42:47.231864,17.3450,-0.4500,-0.2601,-0.6429,74.97,-0.2312,0.0000,-0.5714,0.0000,close,0.6544524222167216,0.5034,0.0
JNJ,momentum_scalp,BUY,2025-08-11T15:42:22.905435,173.6400,173.4800,173.8700,4,0.6667,0.0173,1000000,,2025-08-11T15:43:02.187930,181.0600,29.6800,4.2732,46.3750,39.28,-0.0086,4.2732,-0.0937,46.3750,Profit target hit: $181.06 >= $174.06,0.2,0.0333,0.028795208477283188
QBTS,momentum_scalp,SELL,2025-08-11T15:42:52.336039,17.3400,17.4100,17.2300,10,0.6667,0.0577,1000000,,2025-08-11T15:43:27.388203,17.3850,-0.4500,-0.2595,-0.6429,35.05,-0.2018,0.0865,-0.5000,0.2143,close,0.6571346042749865,0.5055,0.0
IONQ,vwap_bounce,SELL,2025-08-11T15:43:39.123853,44.1690,44.4000,43.8300,10,0.6667,0.0905,1000000,,2025-08-11T15:43:44.559571,45.6000,-14.3100,-3.2398,-6.1948,5.44,-0.0475,0.0000,-0.0909,0.0000,close,0.48750525328937194,0.3750,0.0
IONQ,vwap_bounce,SELL,2025-08-11T15:44:01.270917,44.2700,44.5000,43.9300,10,0.6667,0.0903,1000000,,2025-08-11T15:44:04.070465,45.6250,-13.5500,-3.0608,-5.8913,2.80,-3.0608,0.0000,-5.8913,0.0000,Catastrophic loss 3.061% >= 0.585% (planned 0.488%),0.48750525328937194,0.3750,0.0
QBTS,momentum_scalp,SELL,2025-08-11T15:43:40.590046,17.3500,17.4200,17.2400,10,0.6667,0.0576,1000000,,2025-08-11T15:44:05.295485,17.3950,-0.4500,-0.2594,-0.6429,24.71,-0.2017,0.0000,-0.5000,0.0000,close,0.6429807930096464,0.4946,0.0
PG,vwap_bounce,BUY,2025-08-11T15:44:02.642937,154.5100,154.4100,154.6500,5,0.6667,0.0129,1000000,,2025-08-11T15:44:11.935496,154.0000,-2.5500,-0.3301,-5.1000,9.29,-0.3301,0.0000,-5.1000,0.0000,Catastrophic loss 0.330% >= 0.240% (planned 0.200%),0.2,0.0465,0.0
PG,vwap_bounce,BUY,2025-08-11T15:44:24.892483,154.5100,154.4100,154.6500,5,0.6667,0.0324,1000000,,2025-08-11T15:44:31.247670,153.9750,-2.6750,-0.3463,-5.3500,6.36,-0.3463,0.0000,-5.3500,0.0000,Catastrophic loss 0.346% >= 0.240% (planned 0.200%),0.2,0.0465,0.0
RGTI,momentum_scalp,SELL,2025-08-11T15:42:16.744896,15.5200,15.5700,15.4400,10,0.8333,0.0644,1000000,,2025-08-11T15:44:45.444869,15.5650,-0.4500,-0.2899,-0.9000,148.70,-0.1933,0.0322,-0.6000,0.1000,close,0.3589837997054469,0.2761,0.08974358974357247
PG,vwap_bounce,BUY,2025-08-11T15:45:21.201984,154.4300,154.3300,154.5700,5,0.6667,0.0259,1000000,,2025-08-11T15:45:30.388077,153.9650,-2.3250,-0.3011,-4.6500,9.19,-0.3011,0.0000,-4.6500,0.0000,Catastrophic loss 0.301% >= 0.240% (planned 0.200%),0.2,0.0455,0.0
JNJ,momentum_scalp,BUY,2025-08-11T15:45:26.494005,173.6200,173.4600,173.8500,4,0.6667,0.0288,1000000,,2025-08-11T15:45:36.670973,181.0600,29.7600,4.2852,46.5000,10.18,-0.0144,4.2852,-0.1563,46.5000,Profit target hit: $181.06 >= $174.10,0.2,0.0358,0.0
PG,vwap_bounce,BUY,2025-08-11T15:45:59.993111,154.4100,154.3100,154.5500,5,0.6667,0.0259,1000000,,2025-08-11T15:46:15.966556,157.1850,13.8750,1.7972,27.7500,15.97,-0.0130,1.7972,-0.2000,27.7500,Profit target hit: $157.19 >= $154.95,0.2,0.0455,0.0
QBTS,momentum_scalp,SELL,2025-08-11T15:44:30.965550,17.3700,17.4400,17.2600,10,0.6667,0.0576,1000000,,2025-08-11T15:46:34.075961,17.3050,0.6500,0.3742,0.9286,123.11,-0.0288,0.3742,-0.0714,0.9286,Profit target hit: $17.30 <= $17.31,0.6365207373271897,0.4896,0.407005368907243
JNJ,vwap_bounce,BUY,2025-08-11T15:48:02.797457,173.6500,173.4900,173.8800,4,0.6667,0.0230,1000000,,2025-08-11T15:48:06.899044,181.0650,29.6600,4.2701,46.3438,4.10,-0.0058,4.2701,-0.0625,46.3438,Profit target hit: $181.06 >= $174.15,0.2,0.0370,0.0
RGTI,momentum_scalp,SELL,2025-08-11T15:45:22.540691,15.5500,15.6000,15.4700,10,0.8333,0.0643,1000000,,2025-08-11T15:48:26.318335,15.5900,-0.4000,-0.2572,-0.8000,183.78,-0.2251,0.0000,-0.7000,0.0000,close,0.34657106085677314,0.2666,0.0
PG,vwap_bounce,BUY,2025-08-11T15:48:19.003920,154.5200,154.4200,154.6600,5,0.6667,0.0194,1000000,,2025-08-11T15:48:29.231015,157.2050,13.4250,1.7376,26.8500,10.23,-0.0550,1.7376,-0.8500,26.8500,Profit target hit: $157.20 >= $154.97,0.2,0.0465,0.0
JNJ,vwap_bounce,BUY,2025-08-11T15:50:21.955947,173.5800,173.4200,173.8100,4,0.6667,0.0230,1000000,,2025-08-11T15:50:30.819051,181.0250,29.7800,4.2891,46.5313,8.86,-0.0058,4.2891,-0.0625,46.5313,Profit target hit: $181.03 >= $174.15,0.2,0.0370,0.0
QBTS,momentum_scalp,SELL,2025-08-11T15:48:36.211546,17.3500,17.4200,17.2400,10,0.6667,0.0576,1000000,,2025-08-11T15:50:40.811196,17.3750,-0.2500,-0.1441,-0.3571,124.60,-0.2017,0.0000,-0.5000,0.0000,close,0.6655656482246088,0.5120,0.0
RGTI,momentum_scalp,SELL,2025-08-11T15:48:53.343282,15.5800,15.6300,15.5000,10,0.8333,0.0642,1000000,,2025-08-11T15:50:40.906049,15.5950,-0.1500,-0.0963,-0.3000,107.56,-0.0963,0.0963,-0.3000,0.3000,close,0.3403766651355046,0.2618,0.2828551085425418
JNJ,vwap_bounce,BUY,2025-08-11T15:50:52.399517,173.5700,173.4300,173.7900,4,0.6667,0.0288,1000000,,2025-08-11T15:50:59.946326,181.0100,29.7600,4.2865,53.1429,7.55,-0.0144,4.2865,-0.1786,53.1429,Profit target hit: $181.01 >= $174.15,0.2,0.0370,0.0
PG,vwap_bounce,BUY,2025-08-11T15:50:54.927339,154.5000,154.4000,154.6400,5,0.6667,0.0259,1000000,,2025-08-11T15:51:12.218224,157.2450,13.7250,1.7767,27.4500,17.29,-0.0162,1.7767,-0.2500,27.4500,Profit target hit: $157.25 >= $154.98,0.2,0.0469,0.0
JNJ,vwap_bounce,BUY,2025-08-11T15:53:03.126709,173.6000,173.4600,173.8200,4,0.8333,0.0173,1000000,,2025-08-11T15:53:12.924925,181.0400,29.7600,4.2857,53.1429,9.80,-0.0259,4.2857,-0.3214,53.1429,Profit target hit: $181.04 >= $174.08,0.2,0.0342,0.0
PG,vwap_bounce,BUY,2025-08-11T15:53:49.073522,154.5900,154.4900,154.7300,5,0.6667,0.0259,1000000,,2025-08-11T15:53:52.934918,157.2750,13.4250,1.7369,26.8500,3.86,-0.0129,1.7369,-0.2000,26.8500,Profit target hit: $157.28 >= $155.00,0.2,0.0476,0.0
QBTS,momentum_scalp,SELL,2025-08-11T15:50:50.908385,17.3600,17.4300,17.2500,10,0.6667,0.0576,1000000,,2025-08-11T15:53:59.067406,17.2900,0.7000,0.4032,1.0000,188.16,-0.1152,0.4032,-0.2857,1.0000,Profit target hit: $17.29 <= $17.29,0.6343944323189076,0.4880,0.27240317869146935
JNJ,vwap_bounce,BUY,2025-08-11T15:55:26.768259,173.7300,173.5900,173.9500,4,0.6667,0.0230,1000000,,2025-08-11T15:55:31.589119,181.0950,29.4600,4.2393,52.6071,4.82,-0.0115,4.2393,-0.1429,52.6071,Profit target hit: $181.09 >= $174.18,0.2,0.0383,0.0
RGTI,momentum_scalp,SELL,2025-08-11T15:51:24.972301,15.5600,15.6100,15.4900,10,0.6667,0.0642,1000000,,2025-08-11T15:56:11.963456,15.5350,0.2500,0.1607,0.5000,286.99,-0.0321,0.1607,-0.1000,0.5000,Profit target hit: $15.54 <= $15.54,0.3156785485201111,0.2428,0.30537719059328844
PG,vwap_bounce,BUY,2025-08-11T15:56:07.957764,154.5800,154.4800,154.7200,5,0.6667,0.0194,1000000,,2025-08-11T15:56:24.124193,157.2900,13.5500,1.7531,27.1000,16.17,-0.0097,1.7531,-0.1500,27.1000,Profit target hit: $157.29 >= $155.06,0.2,0.0506,0.0
JNJ,vwap_bounce,BUY,2025-08-11T15:57:36.818210,173.7300,173.5900,173.9500,4,0.6667,0.0173,1000000,,2025-08-11T15:57:58.410194,181.1100,29.5200,4.2480,52.7143,21.59,-0.0086,4.2480,-0.1071,52.7143,Profit target hit: $181.11 >= $174.26,0.2,0.0415,0.0
PG,vwap_bounce,BUY,2025-08-11T15:58:34.974404,154.5920,154.5000,154.7400,5,0.8333,0.0194,1000000,,2025-08-11T15:58:40.018027,154.0500,-2.7100,-0.3506,-5.8913,5.04,-0.3506,0.0000,-5.8913,0.0000,Catastrophic loss 0.351% >= 0.240% (planned 0.200%),0.2,0.0520,0.0
QBTS,momentum_scalp,SELL,2025-08-11T15:56:01.842012,17.2800,17.3500,17.1700,9,0.6667,0.0579,1000000,,2025-08-11T15:59:01.026829,17.3250,-0.4050,-0.2604,-0.6429,179.18,-0.1447,0.0868,-0.3571,0.2143,close,0.6544524222167216,0.5034,0.13263845102984922
PG,vwap_bounce,BUY,2025-08-11T15:59:10.764986,154.6000,154.5000,154.7400,5,0.8333,0.0259,1000000,,2025-08-11T15:59:15.318717,157.2950,13.4750,1.7432,26.9500,4.55,-0.0129,1.7432,-0.2000,26.9500,Profit target hit: $157.30 >= $155.08,0.2,0.0520,0.0
RGTI,momentum_scalp,SELL,2025-08-11T15:56:18.934186,15.5400,15.5900,15.4700,10,0.8333,0.0643,1000000,,2025-08-11T16:01:01.004844,15.5800,-0.4000,-0.2574,-0.8000,282.07,-0.1609,0.0965,-0.5000,0.3000,close,0.33419023136246495,0.2571,0.28883278883280233
QBTS,momentum_scalp,SELL,2025-08-11T15:59:21.539262,17.3300,17.4000,17.2200,10,0.6667,0.0577,1000000,,2025-08-11T16:01:01.119084,17.3750,-0.4500,-0.2597,-0.6429,99.58,-0.2020,0.0000,-0.5000,0.0000,close,0.6651811504497825,0.5117,0.0
